isco_08,task_id,title,task_text,score_2025,potential25,potential23,mean_score_2025,source,source_year
1112,9,Senior Government Officials,Overseeing the interpretation and implementation of government policies and legislation by government departments and agencies.,0.36,Minimal Exposure,Not affected,0.38,predicted,2025
1113,1,Traditional Chiefs and Heads of Villages,Allocating the use of communal land and other resources among households in the community or village;,0.315,Not Exposed,Augmentation Potential,0.23,predicted,2025
1113,2,Traditional Chiefs and Heads of Villages,Collecting and distributing surplus production of the community or village;,0.1475,Not Exposed,Augmentation Potential,0.23,predicted,2025
1113,3,Traditional Chiefs and Heads of Villages,Settling disputes between members of the community or village;,0.235,Not Exposed,Augmentation Potential,0.23,predicted,2025
1113,4,Traditional Chiefs and Heads of Villages,Disciplining members of the community or village for violation of rules and customs;,0.15,Not Exposed,Augmentation Potential,0.23,predicted,2025
1113,5,Traditional Chiefs and Heads of Villages,"Performing ceremonial duties in connection with births, marriages, deaths, harvests and other important occasions;",0.106,Not Exposed,Augmentation Potential,0.23,predicted,2025
1113,6,Traditional Chiefs and Heads of Villages,Representing the community or village on local or regional councils;,0.295,Not Exposed,Augmentation Potential,0.23,predicted,2025
1113,7,Traditional Chiefs and Heads of Villages,Informing the community or village about government rules and regulations.,0.365,Not Exposed,Augmentation Potential,0.23,predicted,2025
1114,1,Senior Officials of Special-interest Organizations,"Determining and formulating the policies, rules and regulations of the organization;",0.365,Minimal Exposure,Not affected,0.37,predicted,2025
1114,2,Senior Officials of Special-interest Organizations,"Planning, directing and coordinating the general functioning of the organization;",0.37,Minimal Exposure,Not affected,0.37,predicted,2025
1114,3,Senior Officials of Special-interest Organizations,"Reviewing the operations and results of the organization and reporting to boards of directors and governing bodies, the organization’s membership and funding agencies;",0.4,Minimal Exposure,Not affected,0.37,predicted,2025
1114,4,Senior Officials of Special-interest Organizations,"Negotiating on behalf of the organization, its members and relevant special-interest groups;",0.28,Minimal Exposure,Not affected,0.37,predicted,2025
1114,5,Senior Officials of Special-interest Organizations,"Promoting the interests of the organization, its members and relevant special-interest groups before the legislature, government or general public;",0.4225,Minimal Exposure,Not affected,0.37,predicted,2025
1114,6,Senior Officials of Special-interest Organizations,"Planning, organizing and directing sections charged with implementing the organization's policies, programmes, rules and regulations;",0.35,Minimal Exposure,Not affected,0.37,predicted,2025
1114,7,Senior Officials of Special-interest Organizations,Ensuring appropriate systems and procedures are developed and implemented to provide budgetary control;,0.3825,Minimal Exposure,Not affected,0.37,predicted,2025
1114,8,Senior Officials of Special-interest Organizations,Monitoring and evaluating performance of the organization or enterprise against established objectives and policies;,0.455,Minimal Exposure,Not affected,0.37,predicted,2025
1114,9,Senior Officials of Special-interest Organizations,"Representing the organization at official occasions and board meetings, in negotiations, at conventions, public hearings and forums.",0.29,Minimal Exposure,Not affected,0.37,predicted,2025
1211,1,Finance Managers,"Planning, directing and coordinating the financial operations of an enterprise or organization;",0.415,Minimal Exposure,Not affected,0.37,predicted,2025
1211,2,Finance Managers,"Assessing the financial situation of the enterprise or organization, preparing budgets and overseeing financial operations;",0.435,Minimal Exposure,Not affected,0.37,predicted,2025
1211,3,Finance Managers,Consulting with the chief executive and with managers of other departments or sections,0.3375,Minimal Exposure,Not affected,0.37,predicted,2025
1211,4,Finance Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;",0.37,Minimal Exposure,Not affected,0.37,predicted,2025
1211,5,Finance Managers,Establishing and directing operational and administrative procedures;,0.36,Minimal Exposure,Not affected,0.37,predicted,2025
1211,6,Finance Managers,Planning and directing daily operations;,0.38,Minimal Exposure,Not affected,0.37,predicted,2025
1211,7,Finance Managers,"Overseeing the selection, training and performance of staff;",0.32,Minimal Exposure,Not affected,0.37,predicted,2025
1211,8,Finance Managers,Representing the enterprise or organization in dealings with outside bodies.,0.365,Minimal Exposure,Not affected,0.37,predicted,2025
1212,1,Human Resource Managers,"Planning, directing and coordinating the personnel and industrial relations activities, policies and practices of an enterprise or organization;",0.36,Minimal Exposure,Not affected,0.36,predicted,2025
1212,2,Human Resource Managers,"Planning and organizing procedures for recruitment, training, promotion, transfer and dismissal of staff;",0.35,Minimal Exposure,Not affected,0.36,predicted,2025
1212,3,Human Resource Managers,Planning and organizing negotiations and procedures for determination of wage structures and level and for consultation with workers on conditions of employment;,0.315,Minimal Exposure,Not affected,0.36,predicted,2025
1212,4,Human Resource Managers,"Overseeing safety, health and related programmes and activities;",0.275,Minimal Exposure,Not affected,0.36,predicted,2025
1212,5,Human Resource Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;",0.375,Minimal Exposure,Not affected,0.36,predicted,2025
1212,6,Human Resource Managers,Establishing and directing operational and administrative procedures;,0.35,Minimal Exposure,Not affected,0.36,predicted,2025
1212,7,Human Resource Managers,Overseeing the development and implementation of management information systems;,0.475,Minimal Exposure,Not affected,0.36,predicted,2025
1212,8,Human Resource Managers,"Ensuring compliance with standards and legislation relating to employees rights, health and safety, equal opportunity and related concerns;",0.305,Minimal Exposure,Not affected,0.36,predicted,2025
1212,9,Human Resource Managers,"Overseeing the selection, training and performance of staff for the entire enterprise or organization;",0.36,Minimal Exposure,Not affected,0.36,predicted,2025
1212,10,Human Resource Managers,Consulting with senior management and with managers of other departments;,0.385,Minimal Exposure,Not affected,0.36,predicted,2025
1212,11,Human Resource Managers,Representing the enterprise or organization in dealings with outside bodies.,0.37,Minimal Exposure,Not affected,0.36,predicted,2025
1213,1,Policy and Planning Managers,"Developing, implementing and monitoring strategic plans, programmes, policies, processes, systems and procedures to achieve goals, objectives and work standards;",0.3625,Not Exposed,Not affected,0.36,predicted,2025
1213,2,Policy and Planning Managers,"Developing, directing, administering and participating in policy research and analysis;",0.4125,Not Exposed,Not affected,0.36,predicted,2025
1213,3,Policy and Planning Managers,Coordinating the implementation of policies and practices;,0.385,Not Exposed,Not affected,0.36,predicted,2025
1213,4,Policy and Planning Managers,Establishing activity measures and measurements of accountability;,0.3585,Not Exposed,Not affected,0.36,predicted,2025
1213,5,Policy and Planning Managers,Planning and directing daily operations;,0.355,Not Exposed,Not affected,0.36,predicted,2025
1213,6,Policy and Planning Managers,Leading and managing the activities of policy development and strategic planning staff;,0.355,Not Exposed,Not affected,0.36,predicted,2025
1213,7,Policy and Planning Managers,"Overseeing the selection, training and performance of staff;",0.28,Not Exposed,Not affected,0.36,predicted,2025
1213,8,Policy and Planning Managers,Consulting with senior management and with managers of other departments;,0.37,Not Exposed,Not affected,0.36,predicted,2025
1213,9,Policy and Planning Managers,"Representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums.",0.355,Not Exposed,Not affected,0.36,predicted,2025
1219,1,Business Services and Administration Managers Not Elsewhere Classified,"Providing administrative, strategic planning and operational support, research and advice to senior management on matters such as the management of building facilities and administrative services;",0.355,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,2,Business Services and Administration Managers Not Elsewhere Classified,Developing and managing the organization's administrative and physical resources;,0.38,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,3,Business Services and Administration Managers Not Elsewhere Classified,Developing and implementing administrative and procedural statements and guidelines for use by staff in the organization;,0.565,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,4,Business Services and Administration Managers Not Elsewhere Classified,"Analysing complex resource management issues and initiatives that affect the organization, and preparing associated reports, correspondence and submissions;",0.555,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,5,Business Services and Administration Managers Not Elsewhere Classified,Providing information and support for the preparation of financial reports and budgets;,0.565,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,6,Business Services and Administration Managers Not Elsewhere Classified,"Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information;",0.37,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,7,Business Services and Administration Managers Not Elsewhere Classified,"Representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums;",0.37,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,8,Business Services and Administration Managers Not Elsewhere Classified,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;",0.365,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,9,Business Services and Administration Managers Not Elsewhere Classified,Planning and directing daily operations;,0.365,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1219,10,Business Services and Administration Managers Not Elsewhere Classified,"Overseeing the selection, training and performance of staff.",0.3,Exposed: Gradient 2,Not affected,0.42,predicted,2025
1221,1,Sales and Marketing Managers,Planning and organizing special sales and marketing programmes based on sales records and market assessments;,0.435,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,2,Sales and Marketing Managers,"Determining price lists, discount and delivery terms, sales promotion budgets, sales methods, special incentives and campaigns;",0.5925,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,3,Sales and Marketing Managers,Establishing and directing operational and administrative procedures related to sales and marketing activities;,0.445,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,4,Sales and Marketing Managers,Leading and managing the activities of sales and marketing staff;,0.385,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,5,Sales and Marketing Managers,Planning and directing daily operations;,0.355,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,6,Sales and Marketing Managers,Establishing and managing budgets and controlling expenditure to ensure the efficient use of resources;,0.3875,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,7,Sales and Marketing Managers,"Overseeing the selection, training and performance of staff;",0.3025,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1221,8,Sales and Marketing Managers,"Representing the enterprise or organization at sales and marketing conventions, trade exhibitions and other forums.",0.395,Exposed: Gradient 2,Not affected,0.41,predicted,2025
1222,1,Advertising and Public Relations Managers,"Planning, directing and coordinating the advertising and public relations activities of an enterprise or organization;",0.445,Minimal Exposure,Not affected,0.39,predicted,2025
1222,2,Advertising and Public Relations Managers,"Negotiating advertising contracts with clients or with newspapers, radio and television stations, sports and cultural organizations and advertising agencies;",0.35,Minimal Exposure,Not affected,0.39,predicted,2025
1222,3,Advertising and Public Relations Managers,"Planning and managing information programmes to inform legislators, the mass media and the general public about the plans, accomplishments and points of view of the enterprise or organization;",0.435,Minimal Exposure,Not affected,0.39,predicted,2025
1222,4,Advertising and Public Relations Managers,Leading and managing the activities of advertising and public relations staff;,0.415,Minimal Exposure,Not affected,0.39,predicted,2025
1222,5,Advertising and Public Relations Managers,Establishing and managing budgets and controlling expenditure and ensuring the efficient use of resources;,0.416,Minimal Exposure,Not affected,0.39,predicted,2025
1222,6,Advertising and Public Relations Managers,Establishing and directing operational and administrative procedures;,0.345,Minimal Exposure,Not affected,0.39,predicted,2025
1222,7,Advertising and Public Relations Managers,Planning and directing daily operations;,0.385,Minimal Exposure,Not affected,0.39,predicted,2025
1222,8,Advertising and Public Relations Managers,"Overseeing the selection, training and performance of staff.",0.315,Minimal Exposure,Not affected,0.39,predicted,2025
1223,1,Research and Development Managers,"Planning, directing and coordinating research and development activities, in-house or commissioned from external research organizations, to develop new or improved technical processes, products, knowledge, or utilization of materials;",0.5,Minimal Exposure,Not affected,0.4,predicted,2025
1223,2,Research and Development Managers,"Planning the overall research and development programme of an enterprise or organization, specifying goals and budgetary requirements;",0.395,Minimal Exposure,Not affected,0.4,predicted,2025
1223,3,Research and Development Managers,Leading and managing the activities of research and development staff;,0.3575,Minimal Exposure,Not affected,0.4,predicted,2025
1223,4,Research and Development Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;",0.4,Minimal Exposure,Not affected,0.4,predicted,2025
1223,5,Research and Development Managers,Establishing and directing operational and administrative procedures;,0.465,Minimal Exposure,Not affected,0.4,predicted,2025
1223,6,Research and Development Managers,Planning and directing daily operations;,0.33,Minimal Exposure,Not affected,0.4,predicted,2025
1223,7,Research and Development Managers,"Overseeing the selection, training and performance of staff;",0.3225,Minimal Exposure,Not affected,0.4,predicted,2025
1223,8,Research and Development Managers,"Representing the enterprise or organization at conventions, seminars and conferences.",0.41,Minimal Exposure,Not affected,0.4,predicted,2025
1311,1,Agricultural and Forestry Production Managers,Monitoring agricultural and forestry market activity and planning production to meet contract requirements and market demand;,0.42,Minimal Exposure,Not affected,0.27,predicted,2025
1311,2,Agricultural and Forestry Production Managers,"Establishing and managing budgets, monitoring production output and costs, recording information such as farm management practices, and preparing financial and operational reports;",0.5650000000000001,Minimal Exposure,Not affected,0.27,predicted,2025
1311,3,Agricultural and Forestry Production Managers,Conferring with buyers to arrange for the sale of crops and livestock;,0.2575,Minimal Exposure,Not affected,0.27,predicted,2025
1311,4,Agricultural and Forestry Production Managers,"Contracting with farmers or independent owners for production of crops and livestock, or for management of production;",0.235,Minimal Exposure,Not affected,0.27,predicted,2025
1311,5,Agricultural and Forestry Production Managers,"Planning the type, intensity and sequence of farm operations (e.g. determining the best times for planting, spraying and harvesting);",0.395,Minimal Exposure,Not affected,0.27,predicted,2025
1311,6,Agricultural and Forestry Production Managers,Analysing soil to determine types and quantities of fertilizer required for maximum production;,0.25,Minimal Exposure,Not affected,0.27,predicted,2025
1311,7,Agricultural and Forestry Production Managers,"Purchasing machinery, equipment, and supplies such as tractors, seed, fertilizer, and chemicals;",0.18,Minimal Exposure,Not affected,0.27,predicted,2025
1311,8,Agricultural and Forestry Production Managers,"Identifying and controlling agricultural and forest environmental toxins, weeds, pests and diseases;",0.1875,Minimal Exposure,Not affected,0.27,predicted,2025
1311,9,Agricultural and Forestry Production Managers,"Organizing farming operations such as maintaining buildings, water supply systems and equipment;",0.14,Minimal Exposure,Not affected,0.27,predicted,2025
1311,10,Agricultural and Forestry Production Managers,"Directing and coordinating activities such as planting, irrigation, chemical application, harvesting, and grading;",0.135,Minimal Exposure,Not affected,0.27,predicted,2025
1311,11,Agricultural and Forestry Production Managers,"Inspecting plantations and fields to determine maturity dates of crops, or to estimate potential crop damage from weather;",0.249,Minimal Exposure,Not affected,0.27,predicted,2025
1311,12,Agricultural and Forestry Production Managers,"Overseeing the selection, training and performance of agricultural and forestry workers and contractors.",0.2225,Minimal Exposure,Not affected,0.27,predicted,2025
1312,1,Aquaculture and Fisheries Production Managers,Monitoring aquaculture and fishery market activity and planning production and fishing activities to meet contract requirements and market demand;,0.28,Not Exposed,Not affected,0.22,predicted,2025
1312,2,Aquaculture and Fisheries Production Managers,"Establishing and managing budgets, monitoring production output and costs, recording information such as fisheries management practices, and preparing financial and operational reports;",0.41,Not Exposed,Not affected,0.22,predicted,2025
1312,3,Aquaculture and Fisheries Production Managers,Conferring with buyers to arrange for the sale of produce and catches;,0.275,Not Exposed,Not affected,0.22,predicted,2025
1312,4,Aquaculture and Fisheries Production Managers,"Contracting with fishing skippers or owners of vessels and aquaculture farms for fishing and aquaculture operations, or for management of production;",0.22,Not Exposed,Not affected,0.22,predicted,2025
1312,5,Aquaculture and Fisheries Production Managers,Conducting and organizing aquaculture or fishery stock examinations in order to identify diseases or parasites;,0.1475,Not Exposed,Not affected,0.22,predicted,2025
1312,6,Aquaculture and Fisheries Production Managers,"Devising and coordinating activities to improve fish hatching and growth rates, and to prevent disease in hatcheries;",0.2075,Not Exposed,Not affected,0.22,predicted,2025
1312,7,Aquaculture and Fisheries Production Managers,Monitoring environments to maintain or improve conditions for aquatic life;,0.14,Not Exposed,Not affected,0.22,predicted,2025
1312,8,Aquaculture and Fisheries Production Managers,"Directing and monitoring trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques;",0.14,Not Exposed,Not affected,0.22,predicted,2025
1312,9,Aquaculture and Fisheries Production Managers,Coordinating the selection and maintenance of brood stock;,0.265,Not Exposed,Not affected,0.22,predicted,2025
1312,10,Aquaculture and Fisheries Production Managers,"Directing and monitoring the transfer of mature fish to lakes, ponds, streams, or commercial tanks;",0.14,Not Exposed,Not affected,0.22,predicted,2025
1312,11,Aquaculture and Fisheries Production Managers,"Purchasing machinery, equipment, and supplies such as vessels and nets;",0.18,Not Exposed,Not affected,0.22,predicted,2025
1312,12,Aquaculture and Fisheries Production Managers,"Organizing operations such as maintenance of ships, boats and equipment;",0.15,Not Exposed,Not affected,0.22,predicted,2025
1312,13,Aquaculture and Fisheries Production Managers,"Overseeing the selection, training and performance of aquaculture or fishery workers and contractors.",0.3,Not Exposed,Not affected,0.22,predicted,2025
1321,1,Manufacturing Managers,"Determining, implementing and monitoring production strategies, policies and plans;",0.44,Minimal Exposure,Not affected,0.38,predicted,2025
1321,2,Manufacturing Managers,"Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements;",0.485,Minimal Exposure,Not affected,0.38,predicted,2025
1321,3,Manufacturing Managers,"Controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools;",0.325,Minimal Exposure,Not affected,0.38,predicted,2025
1321,4,Manufacturing Managers,"Establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs;",0.51,Minimal Exposure,Not affected,0.38,predicted,2025
1321,5,Manufacturing Managers,Consulting with and informing other managers about production matters;,0.435,Minimal Exposure,Not affected,0.38,predicted,2025
1321,6,Manufacturing Managers,Overseeing the acquisition and installation of new plant and equipment;,0.1675,Minimal Exposure,Not affected,0.38,predicted,2025
1321,7,Manufacturing Managers,Controlling the preparation of production records and reports;,0.52,Minimal Exposure,Not affected,0.38,predicted,2025
1321,8,Manufacturing Managers,Coordinating the implementation of occupational health and safety requirements;,0.265,Minimal Exposure,Not affected,0.38,predicted,2025
1321,9,Manufacturing Managers,Identifying business opportunities and determining products to be manufactured;,0.405,Minimal Exposure,Not affected,0.38,predicted,2025
1321,10,Manufacturing Managers,Researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment;,0.315,Minimal Exposure,Not affected,0.38,predicted,2025
1321,11,Manufacturing Managers,Overseeing the provision of quotes for the manufacture of specialized goods and establishing contracts with customers and suppliers;,0.35,Minimal Exposure,Not affected,0.38,predicted,2025
1321,12,Manufacturing Managers,"Overseeing the selection, training and performance of staff.",0.3275,Minimal Exposure,Not affected,0.38,predicted,2025
1322,1,Mining Managers,"Conferring with other managers to set production quotas, plan extraction sites and develop policies for the removal of raw materials;",0.355,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,2,Mining Managers,"Evaluating efficiency of production sites to determine adequacy of personnel, equipment and technologies used, and make changes to work schedule or equipment when necessary;",0.335,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,3,Mining Managers,"Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements;",0.435,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,4,Mining Managers,"Controlling the operation of plant and quality procedures through planning of maintenance, designation of operating hours and supply of equipment;",0.26,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,5,Mining Managers,"Establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs;",0.465,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,6,Mining Managers,Overseeing the acquisition and installation of new plant and equipment;,0.18,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,7,Mining Managers,Controlling the preparation of production records and reports;,0.5475,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,8,Mining Managers,Coordinating the implementation of health and safety requirements;,0.256,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,9,Mining Managers,Researching and implementing regulatory and statutory requirements affecting mineral extraction operations and the environment;,0.32,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1322,10,Mining Managers,"Overseeing the selection, training and performance of staff.",0.32,Minimal Exposure,Augmentation Potential,0.35,predicted,2025
1323,1,Construction Managers,Interpreting architectural drawings and specifications;,0.365,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,2,Construction Managers,"Coordinating labour resources and procurement and delivery of materials, plant and equipment;",0.36,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,3,Construction Managers,"Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget;",0.28,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,4,Construction Managers,Preparing tenders and contract bids;,0.4625,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,5,Construction Managers,Operating and implementing coordinated work programmes for sites;,0.385,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,6,Construction Managers,"Ensuring adherence to building legislation and standards of performance, quality, cost and safety;",0.2925,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,7,Construction Managers,Arranging submission of plans to local authorities;,0.34,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,8,Construction Managers,"Building under contract, or subcontracting specialized building services;",0.255,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,9,Construction Managers,Arranging building inspections by relevant authorities;,0.315,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,10,Construction Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;",0.385,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1323,11,Construction Managers,"Overseeing the selection, training and performance of staff and subcontractors;",0.2825,Minimal Exposure,The Big Uknown,0.34,predicted,2025
1324,1,"Supply, Distribution and Related Managers","Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans;",0.44,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,2,"Supply, Distribution and Related Managers",Preparing and implementing plans to maintain required stock levels at minimum cost;,0.41,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,3,"Supply, Distribution and Related Managers","Negotiating contracts with suppliers to meet quality, cost and delivery requirements;",0.315,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,4,"Supply, Distribution and Related Managers",Monitoring and reviewing storage and inventory systems to meet supply requirements and control stock levels;,0.445,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,5,"Supply, Distribution and Related Managers","Overseeing the dispatch of road vehicles, trains, vessels or aircraft;",0.37,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,6,"Supply, Distribution and Related Managers","Operating recording systems to track all movements of goods, and ensuring reordering and restocking at optimal times;",0.35,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,7,"Supply, Distribution and Related Managers",Liaising with other departments and customers concerning requirements for outward goods and associated forwarding transportation;,0.435,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,8,"Supply, Distribution and Related Managers","Overseeing the recording of purchase, storage and distribution transactions;",0.4575,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,9,"Supply, Distribution and Related Managers","Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;",0.385,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,10,"Supply, Distribution and Related Managers",Establishing and directing operational and administrative procedures;,0.37,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,11,"Supply, Distribution and Related Managers",Planning and directing daily operations;,0.325,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1324,12,"Supply, Distribution and Related Managers","Overseeing the selection, training and performance of staff.",0.3175,Minimal Exposure,Augmentation Potential,0.38,predicted,2025
1411,1,Hotel Managers,"Directing and overseeing reservation, reception, room service and housekeeping activities;",0.365,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,2,Hotel Managers,Supervising security arrangements and garden and property maintenance;,0.2075,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,3,Hotel Managers,"Planning and supervising bar, restaurant, function and conference activities;",0.32,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,4,Hotel Managers,"Observing liquor, gaming, and other laws and regulations;",0.3725,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,5,Hotel Managers,Assessing and reviewing customer satisfaction;,0.5,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,6,Hotel Managers,Overseeing accounting and purchasing activities;,0.44,Exposed: Gradient 1,The Big Uknown,0.37,reconciled,2025
1411,7,Hotel Managers,Undertaking budgeting for the establishment;,0.44,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,8,Hotel Managers,"Controlling selection, training and supervision of staff;",0.28,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,9,Hotel Managers,Ensuring compliance with occupational health and safety regulations;,0.205,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1411,10,Hotel Managers,"Providing guests with local tourism information, and arranging tours and transportation.",0.6000000000000001,Exposed: Gradient 1,The Big Uknown,0.37,predicted,2025
1412,1,Restaurant Managers,Planning menus in consultation with chefs and cooks;,0.4375,Minimal Exposure,The Big Uknown,0.36,predicted,2025
1412,2,Restaurant Managers,Planning and organizing special functions;,0.3525,Minimal Exposure,The Big Uknown,0.36,predicted,2025
1412,3,Restaurant Managers,Arranging the purchasing and pricing of goods according to budget;,0.485,Minimal Exposure,The Big Uknown,0.36,predicted,2025
1412,4,Restaurant Managers,Maintaining records of stock levels and financial transactions;,0.595,Minimal Exposure,The Big Uknown,0.36,predicted,2025
1412,5,Restaurant Managers,"Ensuring dining, kitchen and food storage facilities comply with health regulations and are clean, functional and of suitable appearance;",0.2325,Minimal Exposure,The Big Uknown,0.36,predicted,2025
1412,6,Restaurant Managers,Conferring with customers to assess their satisfaction with meals and service;,0.35,Minimal Exposure,The Big Uknown,0.36,predicted,2025
1412,7,Restaurant Managers,"Selecting, set staff work schedules, training and supervising waiting and kitchen staff;",0.275,Minimal Exposure,The Big Uknown,0.36,predicted,2025
